product_author,product_img_link,product_name,product_price,product_ratings,product_stars
Barack Obama,https://m.media-amazon.com/images/I/81NI6sqvvkL._AC_UY218_.jpg,,"0,.","67,503",4.9 out of 5 stars
Cicely Tyson,https://m.media-amazon.com/images/I/81FeR-7X-WL._AC_UY218_.jpg,,"18,.",20,4.7 out of 5 stars
Holly Whitaker,https://m.media-amazon.com/images/I/71gnwhv3ZsL._AC_UY218_.jpg,,"12,.","1,601",4.4 out of 5 stars
Claudia Oshry,https://m.media-amazon.com/images/I/41q4vz8jByL._AC_UY218_.jpg,,"17,.",271,4.7 out of 5 stars
Katherine May,https://m.media-amazon.com/images/I/A1Fo0xS8EGL._AC_UY218_.jpg,,"20,.",681,4.5 out of 5 stars
Joan Didion,https://m.media-amazon.com/images/I/61wkQ7DtpML._AC_UY218_.jpg,,"19,.",8,3.6 out of 5 stars
Beau Wise,https://m.media-amazon.com/images/I/81aoGLGfD+L._AC_UY218_.jpg,,"17,.",150,4.8 out of 5 stars
Amber Ruffin,https://m.media-amazon.com/images/I/81srvVn-Y2L._AC_UY218_.jpg,,"19,.",348,4.9 out of 5 stars
Janice P. Nimura,https://m.media-amazon.com/images/I/71FcgmgBvWL._AC_UY218_.jpg,,"22,.",20,4.5 out of 5 stars
Charles M Blow,https://m.media-amazon.com/images/I/81zv+geN0GL._AC_UY218_.jpg,,"18,.",6,5.0 out of 5 stars
Sal Iacono,https://m.media-amazon.com/images/I/71tKPXsiUML._AC_UY218_.jpg,,"24,.",31,4.2 out of 5 stars
Frank Figliuzzi,https://m.media-amazon.com/images/I/91GUzJp+ZrL._AC_UY218_.jpg,,"17,.",163,4.7 out of 5 stars
Wright Thompson,https://m.media-amazon.com/images/I/91VQtvnfr0L._AC_UY218_.jpg,,"23,.","1,194",4.6 out of 5 stars
Ty Seidule,https://m.media-amazon.com/images/I/81oGBeoAiJL._AC_UY218_.jpg,,"17,.",14,2.5 out of 5 stars
Alexi Pappas,https://m.media-amazon.com/images/I/81hWHR+pOxL._AC_UY218_.jpg,,"23,.",105,4.9 out of 5 stars
Craig Unger,https://m.media-amazon.com/images/I/910c-DHKXwL._AC_UY218_.jpg,,"26,.",6,3.3 out of 5 stars
